Tyear,GrpTyear,Site,Year,Date,Round,Quad,Image,Species,Len,Area
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8652,EROCIC,11.510,51.775
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8654,EROCIC,10.536,50.430
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8655,EROCIC,10.997,47.125
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8656,EROCIC,10.714,41.145
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8657,EROCIC,11.008,52.055
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8658,EROCIC,12.402,58.210
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8659,EROCIC,11.308,52.281
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8660,EROCIC,11.062,51.405
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8661,EROCIC,10.788,53.255
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8675,EROCIC,9.902,36.597
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8676,EROCIC,10.278,41.060
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8677,EROCIC,11.454,43.690
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8678,EROCIC,10.246,43.540
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8679,EROCIC,8.022,27.710
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8682,EROCIC,10.128,42.715
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8683,EROCIC,9.842,33.570
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8684,EROCIC,9.356,35.225
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8685,EROCIC,11.400,36.520
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8686,EROCIC,13.238,52.690
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8687,GILANG,8.052,38.980
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8698,LUPBIC,7.473,
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8698,LUPBIC,6.886,
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8698,LUPBIC,7.389,
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8698,LUPBIC,7.191,
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8699,ESCCAL,21.831,457.929
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8700,EROCIC,13.868,83.802
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8701,EROCIC,12.245,66.495
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8702,EROCIC,12.206,66.032
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8703,GILANG,8.902,45.130
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8704,GILANG,9.944,51.455
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8705,GILANG,9.108,43.903
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8706,GILANG,9.822,50.923
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8710,SONOLE,18.554,330.672
I14_2021_1,I14_2021,I14,2021,03/26,1,40,8712,SONOLE,18.267,280.258
I14_2021_1,I14_2021,I14,2021,03/26,1,45,8724,GILANG,7.793,37.105
I14_2021_1,I14_2021,I14,2021,03/26,1,45,8722,GILANG,9.014,48.100
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8727,EROCIC,11.708,56.452
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8728,EROCIC,11.044,52.530
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8729,EROCIC,9.996,50.340
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8730,EROCIC,10.178,40.470
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8731,EROCIC,13.502,69.940
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8732,GILANG,8.565,40.194
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8733,GILANG,7.438,33.514
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8734,GILANG,8.052,38.729
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8735,GILANG,6.814,31.865
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8736,GILANG,7.045,31.056
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8737,GILANG,7.450,33.068
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8738,GILANG,7.508,36.434
I14_2021_1,I14_2021,I14,2021,03/26,1,25,8740,MEDPOL,5.498,15.805
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8742,GILANG,9.727,53.206
I14_2021_1,I14_2021,I14,2021,03/26,1,30,8743,GILANG,8.128,50.767
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8745,GILANG,9.289,49.302
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8746,GILANG,9.607,43.516
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8747,GILANG,7.478,29.534
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8748,GILANG,6.337,27.049
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8749,GILANG,9.815,46.255
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8750,GILANG,9.360,42.340
I14_2021_1,I14_2021,I14,2021,03/26,1,35,8751,GILANG,7.261,33.430
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8753,GILANG,7.855,34.386
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8754,GILANG,7.590,27.154
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8755,GILANG,8.733,39.470
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8756,GILANG,8.877,40.608
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8758,GILANG,7.951,35.929
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8759,GILANG,6.441,25.310
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8760,GILANG,8.270,40.288
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8761,GILANG,8.353,33.612
I14_2021_1,I14_2021,I14,2021,03/26,1,10,8762,GILANG,7.521,29.629
I14_2021_1,I14_2021,I14,2021,03/26,1,5,8764,GILANG,7.700,32.851
I14_2021_1,I14_2021,I14,2021,03/26,1,5,8765,GILANG,8.255,38.278
I14_2021_1,I14_2021,I14,2021,03/26,1,5,8766,GILANG,7.996,35.996
I14_2021_1,I14_2021,I14,2021,03/26,1,5,8767,GILANG,8.369,33.885
I14_2021_1,I14_2021,I14,2021,03/26,1,5,8769,GILANG,8.373,38.650
