Row Labels,ACMGLA,ACMMAR,ADEFAS,AMSMEN,ANAARV,BLOCRO,BRANIG,BRATOU,CALCAT,CALCIL,CALEXS,CALMAC,CALSPL,CALWED,CAMCAL,CAMMIC,CASEXS,Castilleja,CEACRA,CENMEL,CHAGLA,CLAPAR,CLAPUR,CRY,DEIFAS,DICCAP,EMMPEN,ENCCAL,ENCFAR,ERICAL,ERICON,ERIFAS,ERIFOL,EROBOT,EROBRA,EROCIC,EROMOS,ESCCAL,EUCCHR,FOEVUL,GILANG,HESWHI,HIRINC,HYPGLA,KECANT,LASCAL,LUPBIC,LUPSUC,LUPTRE,LUPTRU,MALFAS,MALSAX,MARMAC,MED,MEDPOL,MELIND,MICLIN,MIRLAE,OSMTEN,PHACIC,PHACRY,PHAPAR,PHOAUR,PSECAL,RAFCAL,ROMCOU,SALAPI,SALCOL,SALMAC,SALMEL,SANARG,SCRCAL,SILGAL,SILMAR,SISBEL,SOLXAN,SONASP,SONOLE,TRILAN,unk yellow succ,unknown white,Grand Total
GYP08_2021_2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,6,1,,,,,53,,,,,,2,,,,,,,,,,,,,,,,,,31,,,,,,12,,,,,,108
GYP08_2021_3,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,0,,,,,,,0,,,40,,,,,3,,,,,,,43
GYP08_2022_1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,67,,11,,,,,56,,,,,,,,,,,,,,,,,2,,,,,,,84,0,,,,54,0,,,,,,274
GYP08_2022_2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,10,,,,,,,,,,,0,,,56,,,,,,,,,,505,,,,,,,,,,,,572
GYP08_2022_3,,,,,,0,,,,,,3,0,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,0,,,0,,,,,,,,,,0,,10
GYP09_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,3,,,,,,,36,,,,,,,,,,,,44
GYP09_2021_2,,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,16,,,,,0,,0,,,,,7,,7,,,,,,,,,,,,,,,0,,,0,,,,,,,63,,,,,,,,,,,,94
GYP09_2021_3,,,,,,0,8,,,,,,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
GYP09_2022_1,,,,,,,,,,,,10,,,,,,,,,,,,5,4,,,,,,,,,,,,,0,0,,1,,,,110,,,,,,0,,,,,,1,0,,,0,,0,,,,,,,1112,,,,,,,,,,,,1243
GYP09_2022_2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,0,,,,,,,,,235,,,,,,,,,,,,272
GYP09_2022_3,,,,,,,0,,,,,0,,,,,,,,,,,,,60,,,,,,0,993,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,1053
I02_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58
I02_2021_2,2,,,,,,,,,,,0,1,,,,,,,,,,,,,0,,,,,,,,,,9,,,,,,,62,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,2,0,,,77
I02_2021_3,212,,,,,,45,,,,,,0,,,,,,,0,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,293
I02_2022_1,,,,,,,45,,,,,0,0,,,,,,,,,,,,,0,,,,,,,,,,4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,49
I02_2022_2,286,,,,,,83,,,,,,0,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,389
I02_2022_3,1,,,,,,3,,,,,,,1,,,,,,,,,,,107,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,0,,,112
I08_2021_1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,0,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
I08_2021_2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,0,,,,55
I08_2021_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
I08_2022_1,,,,,,,31,,,,,,,,,,1,,,,,,,,,6,,,,,,0,,,,33,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,0,,,,,,91
I08_2022_2,0,,,,,,40,,,,,,0,,,,,,,,,,,,0,,,,,,,14,,,,19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805,,,,,,,,,,,,878
I08_2022_3,177,,,,,,3,,,,,,0,,,,,,,,,,,,257,,,,,,0,430,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,1151
